genre,accuracy,f1,balanced_accuracy,support
80s,0.9999,0.0,0.5,1
alternative,0.9975,0.0,0.5,25
ambient,0.8889,0.05123825789923143,0.5107701649524057,1087
blues,0.9999,0.0,0.5,1
chillout,0.9875,0.0,0.4938487697539508,2
classical,0.7501,0.0,0.5,2499
country,0.9569,0.0,0.47907279463302294,13
dance,0.9822,0.0,0.5,178
easylistening,0.0514,0.04220516962843296,0.4927604025883749,219
electronic,0.4301,0.0,0.5,5699
experimental,0.9901,0.0,0.5,99
folk,0.9908,0.0,0.5,92
hiphop,0.9999,0.0,0.5,1
house,0.9996,0.0,0.5,4
indie,0.9998,0.0,0.5,2
instrumentalpop,0.9818,0.0,0.5,182
instrumentalrock,0.9954,0.0,0.49859747545582045,18
jazz,0.9741,0.0,0.5,259
jazzfusion,0.9998,0.0,0.5,2
latin,0.999,0.0,0.5,10
metal,0.9991,0.0,0.5,9
newage,0.0799,0.0008687153871212944,0.5397659063625451,4
orchestral,0.9967,0.0,0.5,33
pop,0.4349,0.0,0.5,5651
popfolk,0.9995,0.0,0.5,5
poprock,0.9996,0.0,0.5,4
punkrock,0.956,0.009009009009009009,0.9779955991198239,2
reggae,0.9966,0.0,0.499248572287346,19
rock,0.7984,0.0,0.5,2016
soundtrack,0.8208,0.0,0.5,1792
swing,0.9999,0.0,0.5,1
techno,0.9972,0.0,0.5,28
trance,0.9992,0.0,0.5,8
world,0.9965,0.0,0.5,35
