genre,accuracy,precision,recall,f1,balanced_accuracy,support
alternative,0.998,0.0,0.0,0.0,0.5,4
ambient,0.9005,0.0,0.0,0.0,0.5,199
chillout,0.9995,0.0,0.0,0.0,0.5,1
classical,0.759,1.0,0.0163265306122449,0.0321285140562249,0.5081632653061224,490
country,0.999,0.0,0.0,0.0,0.5,2
dance,0.981,0.0,0.0,0.0,0.5,38
easylistening,0.9725,0.0,0.0,0.0,0.5,55
electronic,0.5565,0.557286432160804,0.9946188340807175,0.7143317230273752,0.49956930404600847,1115
experimental,0.99,0.0,0.0,0.0,0.5,20
folk,0.9915,0.0,0.0,0.0,0.5,17
house,0.9995,0.0,0.0,0.0,0.5,1
instrumentalpop,0.98,0.0,0.0,0.0,0.5,40
instrumentalrock,0.998,0.0,0.0,0.0,0.5,4
jazz,0.974,0.0,0.0,0.0,0.5,52
jazzfusion,0.9995,0.0,0.0,0.0,0.5,1
latin,0.9995,0.0,0.0,0.0,0.5,1
metal,0.999,0.0,0.0,0.0,0.5,2
newage,0.9995,0.0,0.0,0.0,0.5,1
orchestral,0.9965,0.0,0.0,0.0,0.5,7
pop,0.592,0.5897035881435257,0.9767441860465116,0.7354085603112841,0.5181694708540067,1161
popfolk,0.9995,0.0,0.0,0.0,0.5,1
poprock,0.9985,0.0,0.0,0.0,0.5,3
punkrock,1.0,0.0,0.0,0.0,1.0,0
reggae,0.9995,0.0,0.0,0.0,0.5,1
rock,0.7855,0.4177215189873418,0.07932692307692307,0.13333333333333333,0.5251432595182595,416
soundtrack,0.824,0.0,0.0,0.0,0.5,352
synthpop,1.0,0.0,0.0,0.0,1.0,0
techno,0.996,0.0,0.0,0.0,0.5,8
trance,1.0,0.0,0.0,0.0,1.0,0
world,0.996,0.0,0.0,0.0,0.5,8
Overall,0.9428,0.571,0.571,0.571,0.7701785714285714,4000
