genre,accuracy,precision,recall,f1,balanced_accuracy,support
alternative,0.998,0.0,0.0,0.0,0.5,2
ambient,0.892,0.0,0.0,0.0,0.5,108
chillout,1.0,0.0,0.0,0.0,1.0,0
classical,0.748,0.0,0.0,0.0,0.5,252
country,0.998,0.0,0.0,0.0,0.5,2
dance,0.987,0.0,0.0,0.0,0.5,13
easylistening,0.983,0.0,0.0,0.0,0.5,17
electronic,0.549,0.549,1.0,0.7088444157520981,0.5,549
experimental,0.985,0.0,0.0,0.0,0.5,15
folk,0.989,0.0,0.0,0.0,0.5,11
house,0.999,0.0,0.0,0.0,0.5,1
instrumentalpop,0.983,0.0,0.0,0.0,0.5,17
instrumentalrock,0.996,0.0,0.0,0.0,0.5,4
jazz,0.975,0.0,0.0,0.0,0.5,25
jazzfusion,1.0,0.0,0.0,0.0,1.0,0
latin,1.0,0.0,0.0,0.0,1.0,0
metal,0.999,0.0,0.0,0.0,0.5,1
newage,1.0,0.0,0.0,0.0,1.0,0
orchestral,0.996,0.0,0.0,0.0,0.5,4
pop,0.586,0.586,1.0,0.7389659520807061,0.5,586
popfolk,0.999,0.0,0.0,0.0,0.5,1
poprock,1.0,0.0,0.0,0.0,1.0,0
punkrock,1.0,0.0,0.0,0.0,1.0,0
reggae,0.996,0.0,0.0,0.0,0.5,4
rock,0.79,0.0,0.0,0.0,0.5,210
soundtrack,0.826,0.0,0.0,0.0,0.5,174
synthpop,1.0,0.0,0.0,0.0,1.0,0
techno,0.998,0.0,0.0,0.0,0.5,2
world,0.999,0.0,0.0,0.0,0.5,1
Overall,0.9403793103448276,0.5675,0.567783891945973,0.5676419104776194,0.7678740207109591,1999
